"","GEOID","numberCrimes","STATEFP","COUNTYFP","TRACTCE","NAME","NAMELSAD","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","name","state","county","tract","TOTAL","MEDIANHOUSEINCOME","BLACK","UNEMPLOYED","INLABORFORCE","POVERTY"
"54","36067002000",11,"36","067","002000","20","Census Tract 20","G5020","S",945411,0,"+43.0568412","-076.1933162","Census Tract 20, Onondaga County, New York","36","067","002000",2037,32500,184,69,1049,497
"55","36067002000",11,"36","067","002000","20","Census Tract 20","G5020","S",945411,0,"+43.0568412","-076.1933162","Census Tract 20, Onondaga County, New York","36","067","002000",2037,32500,184,69,1049,497
"56","36067002000",11,"36","067","002000","20","Census Tract 20","G5020","S",945411,0,"+43.0568412","-076.1933162","Census Tract 20, Onondaga County, New York","36","067","002000",2037,32500,184,69,1049,497
"57","36067002000",11,"36","067","002000","20","Census Tract 20","G5020","S",945411,0,"+43.0568412","-076.1933162","Census Tract 20, Onondaga County, New York","36","067","002000",2037,32500,184,69,1049,497
"58","36067002101",20,"36","067","002101","21.01","Census Tract 21.01","G5020","S",1578291,0,"+43.0526383","-076.1712469","Census Tract 21.01, Onondaga County, New York","36","067","002101",3072,22212,737,160,1193,1620
"59","36067002101",20,"36","067","002101","21.01","Census Tract 21.01","G5020","S",1578291,0,"+43.0526383","-076.1712469","Census Tract 21.01, Onondaga County, New York","36","067","002101",3072,22212,737,160,1193,1620
"60","36067002101",20,"36","067","002101","21.01","Census Tract 21.01","G5020","S",1578291,0,"+43.0526383","-076.1712469","Census Tract 21.01, Onondaga County, New York","36","067","002101",3072,22212,737,160,1193,1620
"61","36067002400",9,"36","067","002400","24","Census Tract 24","G5020","S",465677,0,"+43.0540773","-076.1350296","Census Tract 24, Onondaga County, New York","36","067","002400",1930,23102,602,113,853,979
"62","36067002400",9,"36","067","002400","24","Census Tract 24","G5020","S",465677,0,"+43.0540773","-076.1350296","Census Tract 24, Onondaga County, New York","36","067","002400",1930,23102,602,113,853,979
"63","36067002400",9,"36","067","002400","24","Census Tract 24","G5020","S",465677,0,"+43.0540773","-076.1350296","Census Tract 24, Onondaga County, New York","36","067","002400",1930,23102,602,113,853,979
"64","36067002700",5,"36","067","002700","27","Census Tract 27","G5020","S",604626,0,"+43.0501417","-076.1908215","Census Tract 27, Onondaga County, New York","36","067","002700",2010,31649,95,90,1148,543
"65","36067002700",5,"36","067","002700","27","Census Tract 27","G5020","S",604626,0,"+43.0501417","-076.1908215","Census Tract 27, Onondaga County, New York","36","067","002700",2010,31649,95,90,1148,543
"66","36067002700",5,"36","067","002700","27","Census Tract 27","G5020","S",604626,0,"+43.0501417","-076.1908215","Census Tract 27, Onondaga County, New York","36","067","002700",2010,31649,95,90,1148,543
"67","36067002901",6,"36","067","002901","29.01","Census Tract 29.01","G5020","S",1870601,0,"+43.0441999","-076.1820651","Census Tract 29.01, Onondaga County, New York","36","067","002901",2745,56230,61,76,1917,342
"68","36067002901",6,"36","067","002901","29.01","Census Tract 29.01","G5020","S",1870601,0,"+43.0441999","-076.1820651","Census Tract 29.01, Onondaga County, New York","36","067","002901",2745,56230,61,76,1917,342
"69","36067002901",6,"36","067","002901","29.01","Census Tract 29.01","G5020","S",1870601,0,"+43.0441999","-076.1820651","Census Tract 29.01, Onondaga County, New York","36","067","002901",2745,56230,61,76,1917,342
